, bm_provider_firm_id , count(distinct bm_doc_id ) 
,              675399 ,                       9223 
,              628554 ,                        693 
,               70004 ,                        127 
,              190475 ,                        140 
,              491640 ,                          3 
,              881013 ,                        759 
,              909517 ,                       2640 
,              948027 ,                        841 
,              313374 ,                          1 
,              585325 ,                          3 
,               90210 ,                       4800 
,              909884 ,                          1 
,              179229 ,                       1928 
,              726872 ,                        527 
,              841573 ,                         34 
,               82662 ,                       6146 
,              649949 ,                         28 
,              955353 ,                        184 
,              181342 ,                         27 
,               16689 ,                      27440 
,              282288 ,                       1156 
,              955521 ,                       3070 
,              199351 ,                      11253 
,              179437 ,                          1 
,              953780 ,                        131 
,              857851 ,                         75 
,              823485 ,                        731 
,              520281 ,                        340 
,              528561 ,                        840 
,              269071 ,                         20 
,              526137 ,                       1032 
,              686915 ,                        574 
,              271653 ,                       3019 
,              374051 ,                          5 
,              265759 ,                       1434 
,              227617 ,                      23886 
,              882626 ,                       1380 
,              851345 ,                        302 
,              515259 ,                       5681 
,              627668 ,                       8921 
,              958256 ,                       3169 
,              662057 ,                       1166 
,              982201 ,                          6 
,               52432 ,                       1766 
,              306400 ,                         37 
,              967435 ,                         65 
,              743312 ,                        109 
,              539922 ,                       5023 
,              760062 ,                        317 
,              517041 ,                        183 
,              453252 ,                         10 
,              611384 ,                        282 
,              769676 ,                       5966 
,              198764 ,                      14410 
,              556019 ,                        107 
,              417947 ,                       1812 
,              554056 ,                         99 
,              147039 ,                        287 
,              665361 ,                       2387 
,              892799 ,                        733 
,              322232 ,                        427 
,              643934 ,                       5950 
,              941255 ,                        980 
,              719354 ,                       1548 
,               15168 ,                      12824 
,              981282 ,                       1453 
,              322641 ,                      18139 
,              254768 ,                       1617 
,              747926 ,                       2929 
,              988219 ,                       2046 
,              104518 ,                       1733 
,              326929 ,                        424 
,              701097 ,                       2042 
,              635121 ,                        476 
,               58142 ,                          3 
,               32564 ,                        334 
,              295958 ,                        302 
,              572554 ,                        696 
,              624921 ,                         64 
,              859224 ,                       1662 
,              417050 ,                       1242 
,              993966 ,                         96 
,              137234 ,                       2246 
,              118127 ,                        671 
,              926686 ,                         72 
,              452371 ,                       2923 
,              390568 ,                       1008 
,              701753 ,                        173 
,              320609 ,                        182 
,              992629 ,                         32 
,               26835 ,                      62683 
,              173974 ,                        124 
,              841398 ,                        217 
,              478450 ,                       6828 
,              280583 ,                      17374 
,              323767 ,                        574 
,              592788 ,                        259 
,              375376 ,                       1224 
,              608941 ,                         68 
,              388015 ,                       9303 
,              925097 ,                        261 
,              647882 ,                       6284 
,              242202 ,                         85 
,              581314 ,                         17 
,               14843 ,                       4228 
,              898850 ,                       3737 
,              865507 ,                         58 
,              125028 ,                       2486 
,              243792 ,                       2135 
,               25729 ,                      25252 
,              700249 ,                         40 
,              236822 ,                       3736 
,              100740 ,                        343 
,               21862 ,                          4 
,               16321 ,                      34116 
,              124788 ,                         73 
,              553458 ,                       9357 
,              173246 ,                          4 
,              538091 ,                        372 
,              268563 ,                       1993 
,              605686 ,                       4838 
,              778375 ,                       5701 
,              760900 ,                       1319 
,               28407 ,                      15941 
,              668069 ,                        258 
,              662428 ,                        424 
,              466726 ,                        139 
,              207629 ,                        747 
,               40907 ,                        395 
,              147200 ,                      18719 
,              689327 ,                      12610 
,              559131 ,                        188 
,              199296 ,                       2431 
,               29320 ,                      14140 
,              205925 ,                        547 
,               29367 ,                      16473 
,              196800 ,                         10 
,              986033 ,                       1342 
,               32323 ,                      76538 
,               79531 ,                       1415 
,              446788 ,                        320 
,              525380 ,                        417 
,              694495 ,                      12286 
,              288296 ,                        886 
,               13223 ,                       1609 
,              566421 ,                         76 
,              831925 ,                         45 
,              267177 ,                        505 
,              222148 ,                         82 
,              888379 ,                        385 
,               48207 ,                        140 
,              216683 ,                       2786 
,               16261 ,                        286 
,              484232 ,                       5180 
,              273378 ,                       1974 
,              121944 ,                         88 
,              229440 ,                       8141 
,               81416 ,                        588 
,              741376 ,                        315 
,              376966 ,                      14941 
,              936544 ,                          6 
,              504222 ,                       2895 
,              378901 ,                         62 
,              885594 ,                          6 
,              751711 ,                       1358 
,              934369 ,                       3021 
,              962324 ,                       6568 
,              739473 ,                       3214 
,              150188 ,                       5976 
,              617713 ,                       8341 
,              711328 ,                       1065 
,              488882 ,                       3043 
,              836159 ,                       1586 
,              990574 ,                          3 
,              894940 ,                       1499 
,              698096 ,                        443 
,               23069 ,                      91696 
,              770537 ,                       2419 
,              600783 ,                        203 
,              520406 ,                       1697 
,              628290 ,                        984 
,              131435 ,                         27 
,              320798 ,                        173 
,              156120 ,                          8 
,              735804 ,                         52 
,              679908 ,                          2 
,              823391 ,                        978 
,              118835 ,                          9 
,              336831 ,                       1150 
,              563776 ,                     598419 
,              133805 ,                         37 
,              886351 ,                       2273 
,               12761 ,                      11979 
,               21765 ,                      80065 
,              874559 ,                       1471 
,              192237 ,                       2181 
,              959340 ,                       7817 
,              903830 ,                         59 
,              253446 ,                      10293 
,              748357 ,                          6 
,              329313 ,                         85 
,              359176 ,                        399 
,              511109 ,                       2265 
,              995227 ,                       4408 
,              974608 ,                         75 
,              287454 ,                      22213 
,              120557 ,                        182 
,              913635 ,                       2624 
,              133359 ,                      14821 
,              454561 ,                        489 
,              494916 ,                        755 
,              738798 ,                       3570 
,              821428 ,                        678 
,              164658 ,                       2927 
,              671158 ,                       1312 
,              693544 ,                       8091 
,              777098 ,                         97 
,              506926 ,                         14 
,              448538 ,                       2824 
,               70005 ,                        222 
,              489999 ,                       1002 
,              401080 ,                        140 
,              622676 ,                      12304 
,              750380 ,                        831 
,              128886 ,                         55 
,              111563 ,                        781 
,              923127 ,                       7381 
,              853926 ,                          5 
,              828081 ,                        118 
,              953537 ,                      42882 
,              277126 ,                       9819 
,              860296 ,                       2885 
,              367525 ,                        178 
,              563901 ,                        116 
,              468627 ,                       1143 
,              653093 ,                        750 
,              175678 ,                         14 
,               70003 ,                         63 
,              642570 ,                       1924 
,              125716 ,                        225 
,              980646 ,                         98 
,              912889 ,                       2974 
,              597253 ,                        415 
,              309388 ,                        786 
,              446409 ,                       4405 
,              260978 ,                      65937 
,              109078 ,                        400 
,              793725 ,                         40 
,              956843 ,                        436 
,              629982 ,                       4987 
,              813679 ,                        842 
,              478662 ,                        341 
,              636510 ,                        139 
,              977552 ,                         76 
,              347813 ,                       2085 
,              844018 ,                        356 
,              314032 ,                       7421 
,              125451 ,                       2697 
,              594557 ,                         39 
,              263055 ,                       1690 
,              481391 ,                        185 
,              719121 ,                        925 
,              856937 ,                        578 
,               10472 ,                     211370 
,              353814 ,                       1332 
,              132251 ,                      13148 
,              442329 ,                        988 
,              722533 ,                         64 
,              737219 ,                         42 
,              430746 ,                        504 
,              680778 ,                         46 
,              232631 ,                         41 
,              803088 ,                       1391 
,              171041 ,                        462 
,              661817 ,                     178093 
,              694938 ,                        127 
,              899287 ,                       2373 
,               31682 ,                       7741 
,              763539 ,                         34 
,              966463 ,                      10308 
,              352069 ,                        872 
,               31384 ,                      17328 
,              382652 ,                         47 
,              584274 ,                        374 
,              437645 ,                        664 
,              800990 ,                          7 
,              820879 ,                       5318 
,               62786 ,                       2244 
,              401193 ,                          4 
,              340550 ,                         79 
,              807474 ,                       2390 
,              270640 ,                       3647 
,              390934 ,                       5067 
,              687830 ,                         90 
,              248923 ,                         39 
,              743773 ,                          5 
,              130409 ,                         76 
,              110311 ,                       3650 
,              426314 ,                        124 
,              579020 ,                       7859 
,              776594 ,                          1 
,              555233 ,                       1503 
,              170961 ,                        290 
,              540422 ,                       2383 
,              635715 ,                       5450 
,              928862 ,                       3552 
,              603821 ,                         63 
,              290828 ,                       6585 
,              212714 ,                        300 
,              258618 ,                       4411 
,              533337 ,                         16 
,              353045 ,                       1775 
,               69632 ,                       2025 
,              113002 ,                        703 
,              901470 ,                       2902 
,              669856 ,                        197 
,              219392 ,                       3811 
,               18524 ,                      67913 
,              470185 ,                        442 
,              964696 ,                        168 
,              111390 ,                         17 
,              589055 ,                         50 
,               24190 ,                         93 
,              488659 ,                       7184 
,              455109 ,                         77 
,              490979 ,                         46 
,              816208 ,                        767 
,              680123 ,                        174 
,              849880 ,                       1869 
,              184280 ,                       2576 
,              174383 ,                       1356 
,              645741 ,                        108 
,              988728 ,                       3706 
,              261414 ,                         19 
,              330656 ,                       1680 
,              769948 ,                        714 
,              330323 ,                        395 
,              483293 ,                        385 
,              638670 ,                       5647 
,              136317 ,                         77 
,              856699 ,                        554 
,              723284 ,                       9138 
,              558346 ,                        762 
,              814935 ,                       1307 
,              665979 ,                         44 
,              785370 ,                         85 
,              894678 ,                       1806 
,              146287 ,                       1234 
,              323339 ,                         74 
,              219645 ,                       1046 
,              718589 ,                        930 
,                1000 ,                        118 
,              373136 ,                       2469 
,              320447 ,                         64 
,              411346 ,                          7 
,              299013 ,                        303 
,              139539 ,                         24 
,              729116 ,                       1852 
,              267953 ,                        593 
,              601535 ,                        142 
,              244349 ,                       2721 
,                9841 ,                       2002 
,              282700 ,                          5 
,              806001 ,                       1116 
,              246577 ,                        480 
,              638236 ,                      23050 
,               93619 ,                     405915 
,              368155 ,                        153 
,              573688 ,                       3189 
,              949661 ,                         26 
,              354713 ,                        671 
,              580540 ,                       3123 
,              408421 ,                          3 
,              135984 ,                        258 
,              799817 ,                       4685 
,              416175 ,                         16 
,              567298 ,                       1249 
,              269699 ,                         35 
,              243669 ,                       4989 
,              310827 ,                      66796 
,              960775 ,                         68 
,              742809 ,                         51 
,              808770 ,                       1536 
,              259734 ,                        788 
,              725988 ,                       5649 
,              545277 ,                         12 
,              196995 ,                       2866 
,              883134 ,                       9642 
,              363591 ,                       3676 
